,geometry
33,"POLYGON ((334356.83256960544 5290367.07623245, 334356.83256960544 5291567.07623245, 333156.83256960544 5291567.07623245, 333156.83256960544 5290367.07623245, 334356.83256960544 5290367.07623245))"
34,"POLYGON ((334356.83256960544 5291567.07623245, 334356.83256960544 5292767.07623245, 333156.83256960544 5292767.07623245, 333156.83256960544 5291567.07623245, 334356.83256960544 5291567.07623245))"
35,"POLYGON ((334356.83256960544 5292767.07623245, 334356.83256960544 5293967.07623245, 333156.83256960544 5293967.07623245, 333156.83256960544 5292767.07623245, 334356.83256960544 5292767.07623245))"
36,"POLYGON ((334356.83256960544 5293967.07623245, 334356.83256960544 5295167.07623245, 333156.83256960544 5295167.07623245, 333156.83256960544 5293967.07623245, 334356.83256960544 5293967.07623245))"
37,"POLYGON ((334356.83256960544 5295167.07623245, 334356.83256960544 5296367.07623245, 333156.83256960544 5296367.07623245, 333156.83256960544 5295167.07623245, 334356.83256960544 5295167.07623245))"
38,"POLYGON ((334356.83256960544 5296367.07623245, 334356.83256960544 5297567.07623245, 333156.83256960544 5297567.07623245, 333156.83256960544 5296367.07623245, 334356.83256960544 5296367.07623245))"
39,"POLYGON ((335556.83256960544 5281967.07623245, 335556.83256960544 5283167.07623245, 334356.83256960544 5283167.07623245, 334356.83256960544 5281967.07623245, 335556.83256960544 5281967.07623245))"
40,"POLYGON ((335556.83256960544 5283167.07623245, 335556.83256960544 5284367.07623245, 334356.83256960544 5284367.07623245, 334356.83256960544 5283167.07623245, 335556.83256960544 5283167.07623245))"
41,"POLYGON ((335556.83256960544 5284367.07623245, 335556.83256960544 5285567.07623245, 334356.83256960544 5285567.07623245, 334356.83256960544 5284367.07623245, 335556.83256960544 5284367.07623245))"
42,"POLYGON ((335556.83256960544 5285567.07623245, 335556.83256960544 5286767.07623245, 334356.83256960544 5286767.07623245, 334356.83256960544 5285567.07623245, 335556.83256960544 5285567.07623245))"
43,"POLYGON ((335556.83256960544 5286767.07623245, 335556.83256960544 5287967.07623245, 334356.83256960544 5287967.07623245, 334356.83256960544 5286767.07623245, 335556.83256960544 5286767.07623245))"
44,"POLYGON ((335556.83256960544 5287967.07623245, 335556.83256960544 5289167.07623245, 334356.83256960544 5289167.07623245, 334356.83256960544 5287967.07623245, 335556.83256960544 5287967.07623245))"
45,"POLYGON ((335556.83256960544 5289167.07623245, 335556.83256960544 5290367.07623245, 334356.83256960544 5290367.07623245, 334356.83256960544 5289167.07623245, 335556.83256960544 5289167.07623245))"
46,"POLYGON ((335556.83256960544 5290367.07623245, 335556.83256960544 5291567.07623245, 334356.83256960544 5291567.07623245, 334356.83256960544 5290367.07623245, 335556.83256960544 5290367.07623245))"
47,"POLYGON ((335556.83256960544 5291567.07623245, 335556.83256960544 5292767.07623245, 334356.83256960544 5292767.07623245, 334356.83256960544 5291567.07623245, 335556.83256960544 5291567.07623245))"
48,"POLYGON ((335556.83256960544 5292767.07623245, 335556.83256960544 5293967.07623245, 334356.83256960544 5293967.07623245, 334356.83256960544 5292767.07623245, 335556.83256960544 5292767.07623245))"
49,"POLYGON ((335556.83256960544 5293967.07623245, 335556.83256960544 5295167.07623245, 334356.83256960544 5295167.07623245, 334356.83256960544 5293967.07623245, 335556.83256960544 5293967.07623245))"
50,"POLYGON ((335556.83256960544 5295167.07623245, 335556.83256960544 5296367.07623245, 334356.83256960544 5296367.07623245, 334356.83256960544 5295167.07623245, 335556.83256960544 5295167.07623245))"
51,"POLYGON ((335556.83256960544 5296367.07623245, 335556.83256960544 5297567.07623245, 334356.83256960544 5297567.07623245, 334356.83256960544 5296367.07623245, 335556.83256960544 5296367.07623245))"
52,"POLYGON ((335556.83256960544 5297567.07623245, 335556.83256960544 5298767.07623245, 334356.83256960544 5298767.07623245, 334356.83256960544 5297567.07623245, 335556.83256960544 5297567.07623245))"
53,"POLYGON ((335556.83256960544 5298767.07623245, 335556.83256960544 5299967.07623245, 334356.83256960544 5299967.07623245, 334356.83256960544 5298767.07623245, 335556.83256960544 5298767.07623245))"
54,"POLYGON ((335556.83256960544 5299967.07623245, 335556.83256960544 5301167.07623245, 334356.83256960544 5301167.07623245, 334356.83256960544 5299967.07623245, 335556.83256960544 5299967.07623245))"
55,"POLYGON ((336756.83256960544 5281967.07623245, 336756.83256960544 5283167.07623245, 335556.83256960544 5283167.07623245, 335556.83256960544 5281967.07623245, 336756.83256960544 5281967.07623245))"
56,"POLYGON ((336756.83256960544 5283167.07623245, 336756.83256960544 5284367.07623245, 335556.83256960544 5284367.07623245, 335556.83256960544 5283167.07623245, 336756.83256960544 5283167.07623245))"
57,"POLYGON ((336756.83256960544 5284367.07623245, 336756.83256960544 5285567.07623245, 335556.83256960544 5285567.07623245, 335556.83256960544 5284367.07623245, 336756.83256960544 5284367.07623245))"
58,"POLYGON ((336756.83256960544 5285567.07623245, 336756.83256960544 5286767.07623245, 335556.83256960544 5286767.07623245, 335556.83256960544 5285567.07623245, 336756.83256960544 5285567.07623245))"
59,"POLYGON ((336756.83256960544 5286767.07623245, 336756.83256960544 5287967.07623245, 335556.83256960544 5287967.07623245, 335556.83256960544 5286767.07623245, 336756.83256960544 5286767.07623245))"
60,"POLYGON ((336756.83256960544 5287967.07623245, 336756.83256960544 5289167.07623245, 335556.83256960544 5289167.07623245, 335556.83256960544 5287967.07623245, 336756.83256960544 5287967.07623245))"
61,"POLYGON ((336756.83256960544 5289167.07623245, 336756.83256960544 5290367.07623245, 335556.83256960544 5290367.07623245, 335556.83256960544 5289167.07623245, 336756.83256960544 5289167.07623245))"
62,"POLYGON ((336756.83256960544 5290367.07623245, 336756.83256960544 5291567.07623245, 335556.83256960544 5291567.07623245, 335556.83256960544 5290367.07623245, 336756.83256960544 5290367.07623245))"
63,"POLYGON ((336756.83256960544 5291567.07623245, 336756.83256960544 5292767.07623245, 335556.83256960544 5292767.07623245, 335556.83256960544 5291567.07623245, 336756.83256960544 5291567.07623245))"
64,"POLYGON ((336756.83256960544 5292767.07623245, 336756.83256960544 5293967.07623245, 335556.83256960544 5293967.07623245, 335556.83256960544 5292767.07623245, 336756.83256960544 5292767.07623245))"
65,"POLYGON ((336756.83256960544 5293967.07623245, 336756.83256960544 5295167.07623245, 335556.83256960544 5295167.07623245, 335556.83256960544 5293967.07623245, 336756.83256960544 5293967.07623245))"
66,"POLYGON ((336756.83256960544 5295167.07623245, 336756.83256960544 5296367.07623245, 335556.83256960544 5296367.07623245, 335556.83256960544 5295167.07623245, 336756.83256960544 5295167.07623245))"
67,"POLYGON ((336756.83256960544 5296367.07623245, 336756.83256960544 5297567.07623245, 335556.83256960544 5297567.07623245, 335556.83256960544 5296367.07623245, 336756.83256960544 5296367.07623245))"
68,"POLYGON ((336756.83256960544 5297567.07623245, 336756.83256960544 5298767.07623245, 335556.83256960544 5298767.07623245, 335556.83256960544 5297567.07623245, 336756.83256960544 5297567.07623245))"
69,"POLYGON ((336756.83256960544 5298767.07623245, 336756.83256960544 5299967.07623245, 335556.83256960544 5299967.07623245, 335556.83256960544 5298767.07623245, 336756.83256960544 5298767.07623245))"
70,"POLYGON ((336756.83256960544 5299967.07623245, 336756.83256960544 5301167.07623245, 335556.83256960544 5301167.07623245, 335556.83256960544 5299967.07623245, 336756.83256960544 5299967.07623245))"
71,"POLYGON ((336756.83256960544 5322767.07623245, 336756.83256960544 5323967.07623245, 335556.83256960544 5323967.07623245, 335556.83256960544 5322767.07623245, 336756.83256960544 5322767.07623245))"
72,"POLYGON ((337956.83256960544 5251967.07623245, 337956.83256960544 5253167.07623245, 336756.83256960544 5253167.07623245, 336756.83256960544 5251967.07623245, 337956.83256960544 5251967.07623245))"
73,"POLYGON ((337956.83256960544 5254367.07623245, 337956.83256960544 5255567.07623245, 336756.83256960544 5255567.07623245, 336756.83256960544 5254367.07623245, 337956.83256960544 5254367.07623245))"
74,"POLYGON ((337956.83256960544 5255567.07623245, 337956.83256960544 5256767.07623245, 336756.83256960544 5256767.07623245, 336756.83256960544 5255567.07623245, 337956.83256960544 5255567.07623245))"
75,"POLYGON ((337956.83256960544 5256767.07623245, 337956.83256960544 5257967.07623245, 336756.83256960544 5257967.07623245, 336756.83256960544 5256767.07623245, 337956.83256960544 5256767.07623245))"
76,"POLYGON ((337956.83256960544 5257967.07623245, 337956.83256960544 5259167.07623245, 336756.83256960544 5259167.07623245, 336756.83256960544 5257967.07623245, 337956.83256960544 5257967.07623245))"
77,"POLYGON ((337956.83256960544 5259167.07623245, 337956.83256960544 5260367.07623245, 336756.83256960544 5260367.07623245, 336756.83256960544 5259167.07623245, 337956.83256960544 5259167.07623245))"
78,"POLYGON ((337956.83256960544 5260367.07623245, 337956.83256960544 5261567.07623245, 336756.83256960544 5261567.07623245, 336756.83256960544 5260367.07623245, 337956.83256960544 5260367.07623245))"
79,"POLYGON ((337956.83256960544 5261567.07623245, 337956.83256960544 5262767.07623245, 336756.83256960544 5262767.07623245, 336756.83256960544 5261567.07623245, 337956.83256960544 5261567.07623245))"
80,"POLYGON ((337956.83256960544 5262767.07623245, 337956.83256960544 5263967.07623245, 336756.83256960544 5263967.07623245, 336756.83256960544 5262767.07623245, 337956.83256960544 5262767.07623245))"
81,"POLYGON ((337956.83256960544 5263967.07623245, 337956.83256960544 5265167.07623245, 336756.83256960544 5265167.07623245, 336756.83256960544 5263967.07623245, 337956.83256960544 5263967.07623245))"
82,"POLYGON ((337956.83256960544 5265167.07623245, 337956.83256960544 5266367.07623245, 336756.83256960544 5266367.07623245, 336756.83256960544 5265167.07623245, 337956.83256960544 5265167.07623245))"
83,"POLYGON ((337956.83256960544 5281967.07623245, 337956.83256960544 5283167.07623245, 336756.83256960544 5283167.07623245, 336756.83256960544 5281967.07623245, 337956.83256960544 5281967.07623245))"
84,"POLYGON ((337956.83256960544 5283167.07623245, 337956.83256960544 5284367.07623245, 336756.83256960544 5284367.07623245, 336756.83256960544 5283167.07623245, 337956.83256960544 5283167.07623245))"
85,"POLYGON ((337956.83256960544 5286767.07623245, 337956.83256960544 5287967.07623245, 336756.83256960544 5287967.07623245, 336756.83256960544 5286767.07623245, 337956.83256960544 5286767.07623245))"
86,"POLYGON ((337956.83256960544 5287967.07623245, 337956.83256960544 5289167.07623245, 336756.83256960544 5289167.07623245, 336756.83256960544 5287967.07623245, 337956.83256960544 5287967.07623245))"
87,"POLYGON ((337956.83256960544 5289167.07623245, 337956.83256960544 5290367.07623245, 336756.83256960544 5290367.07623245, 336756.83256960544 5289167.07623245, 337956.83256960544 5289167.07623245))"
88,"POLYGON ((337956.83256960544 5290367.07623245, 337956.83256960544 5291567.07623245, 336756.83256960544 5291567.07623245, 336756.83256960544 5290367.07623245, 337956.83256960544 5290367.07623245))"
89,"POLYGON ((337956.83256960544 5291567.07623245, 337956.83256960544 5292767.07623245, 336756.83256960544 5292767.07623245, 336756.83256960544 5291567.07623245, 337956.83256960544 5291567.07623245))"
90,"POLYGON ((337956.83256960544 5292767.07623245, 337956.83256960544 5293967.07623245, 336756.83256960544 5293967.07623245, 336756.83256960544 5292767.07623245, 337956.83256960544 5292767.07623245))"
91,"POLYGON ((337956.83256960544 5293967.07623245, 337956.83256960544 5295167.07623245, 336756.83256960544 5295167.07623245, 336756.83256960544 5293967.07623245, 337956.83256960544 5293967.07623245))"
92,"POLYGON ((337956.83256960544 5295167.07623245, 337956.83256960544 5296367.07623245, 336756.83256960544 5296367.07623245, 336756.83256960544 5295167.07623245, 337956.83256960544 5295167.07623245))"
93,"POLYGON ((337956.83256960544 5301167.07623245, 337956.83256960544 5302367.07623245, 336756.83256960544 5302367.07623245, 336756.83256960544 5301167.07623245, 337956.83256960544 5301167.07623245))"
94,"POLYGON ((337956.83256960544 5302367.07623245, 337956.83256960544 5303567.07623245, 336756.83256960544 5303567.07623245, 336756.83256960544 5302367.07623245, 337956.83256960544 5302367.07623245))"
